Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.36     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::__normal_iterator(Point const* const&)
  0.00      0.36     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00       30     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.36     0.00       30     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.36     0.00       30     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.36     0.00       30     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.36     0.00       30     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.36     0.00       30     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.36     0.00       30     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.36     0.00       30     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.36     0.00       30     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.36     0.00       30     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.36     0.00       30     0.00     0.00  Point const& std::forward<Point const&>(std::remove_reference<Point const&>::type&)
  0.00      0.36     0.00       30     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.36     0.00       21     0.00     0.00  BenchmarkResult&& std::forward<BenchmarkResult>(std::remove_reference<BenchmarkResult>::type&)
  0.00      0.36     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<BenchmarkResult const*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > >::base() const
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.36     0.00       20     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Point*>(Point*, Point*)
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.36     0.00       20     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.36     0.00       20     0.00     0.00  std::__new_allocator<Point>::~__new_allocator()
  0.00      0.36     0.00       20     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.36     0.00       20     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.36     0.00       20     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector()
  0.00      0.36     0.00       20     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::reserve(unsigned long)
  0.00      0.36     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      0.36     0.00       20     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.36     0.00       20     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00      0.36     0.00       20     0.00     0.00  std::log(long double)
  0.00      0.36     0.00       20     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      0.36     0.00       19     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.36     0.00       18     0.00     0.00  BenchmarkResult* std::__niter_base<BenchmarkResult*>(BenchmarkResult*)
  0.00      0.36     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<BenchmarkResult*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > >::__normal_iterator(BenchmarkResult* const&)
  0.00      0.36     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      0.36     0.00       16     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.36     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > std::__miter_base<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.36     0.00       16     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.36     0.00       13     0.00     0.00  BenchmarkResult* std::__addressof<BenchmarkResult>(BenchmarkResult&)
  0.00      0.36     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<BenchmarkResult*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > >::base() const
  0.00      0.36     0.00       12     0.00     0.00  std::vector<BenchmarkResult, std::allocator<BenchmarkResult> >::size() const
  0.00      0.36     0.00       11     0.00     0.00  BenchmarkResult::~BenchmarkResult()
  0.00      0.36     0.00       10     0.00    31.35  Cluster::solveLaplace()
  0.00      0.36     0.00       10     0.00     0.88  Cluster::getCandidates()
  0.00      0.36     0.00       10     0.00     0.00  Cluster::pick(std::vector<Point, std::allocator<Point> >&)
  0.00      0.36     0.00       10     0.00    32.23  Cluster::step()
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::__normal_iterator<Point*, void>(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator<double*, void>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::__ops::__iter_less_val()
  0.00      0.36     0.00       10     0.00     0.00  bool __gnu_cxx::operator==<Point const*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  bool __gnu_cxx::operator==<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::difference_type __gnu_cxx::operator-<Point const*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  bool __gnu_cxx::operator!=<BenchmarkResult const*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > >(__gnu_cxx::__normal_iterator<BenchmarkResult const*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > > const&, __gnu_cxx::__normal_iterator<BenchmarkResult const*, std::vector<BenchmarkResult, std::allocator<BenchmarkResult> > > const&)
  0.00      0.36     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::end() const
  0.00      0.36     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin() const
  0.00      0.36     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::empty() const
  0.00      0.36     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::cbegin() const
  0.00      0.36     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::empty() const
  0.00      0.36     0.00       10     0.00     0.00  std::vector<double, std::allocator<double> >::cbegin() const
  0.00      0.36     0.00       10     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double, double>(double*, double*, double*)
  0.00      0.36     0.00       10     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
